word,freq,type
خون دل,1489,love
سر زلف,1281,love
سر کوی,1066,love
رسول خدا,1050,religion
خون جگر,1021,love
آب حیات,960,philosophy
کام دل,854,love
درد دل,848,love
شیخ الاسلام,800,religion
غم عشق,758,love
باد صبا,726,daily
آب حیوان,726,philosophy
نعمت الله,675,religion
رسول الله,583,religion
حق تعالی,561,religion
روی زمین,518,daily
آتش دل,494,love
بوی گل,491,daily
ابن یمین,489,religion
روز قیامت,473,religion
قال ابن,466,religion
خاک ره,463,love
خاک پای,461,love
ابن عباس,459,religion
شاخ گل,431,daily
اهل دل,427,philosophy
ره عشق,402,love
آب چشم,379,love
شاه جهان,373,philosophy
آتش عشق,373,love
خلق جهان,371,daily
درد عشق,367,love
درد سر,341,daily
سر راه,336,philosophy
سیف فرغانی,333,others
سوز دل,328,love
خاک راه,327,love
برگ گل,317,daily
جان جان,314,love
سر خاک,313,daily
پیر طریقت,309,love
لب لعل,304,love
بار خدایا,295,religion
راه عشق,291,love
نقش پا,273,daily
مرغ دل,271,love
خاک درت,269,love
دل ریش,257,love
غم دل,254,love
میان جان,251,love
چشمه حیوان,251,philosophy
بنی اسرائیل,240,religion
رب العزة,238,religion
دل خون,236,love
ملک جهان,216,philosophy
جام جم,215,others
درین ره,213,others
درین آیت,209,religion
شیر ژیان,205,daily
سر بازار,204,others
جان جهان,202,love
نور چشم,201,love
آب زندگانی,198,philosophy
راه حق,197,philosophy
محمد بن,194,religion
عبد الله,194,religion
کار جهان,192,daily
پیر مغان,188,philosophy
راه دین,184,religion
گرد سر,179,daily
سر کویت,176,love
لب میگون,174,love
آب زندگی,171,philosophy
نقش قدم,170,daily
سر دار,170,love
آب خضر,165,religion
چاک گریبان,163,daily
شمس تبریزی,163,daily
نقش پای,160,daily
آب گهر,159,daily
استاد ابوعلی,158,others
شب هجران,157,love
عین الیقین,157,love
سخن گفتن,157,daily
دامن صحرا,156,daily
حضرت امام,156,religion
رشته جان,151,love
خاک سر,149,love
رب العزه,149,religion
ابر بهار,147,daily
کوه قاف,146,daily
شمس دین,146,religion
شمس تبریز,146,religion
مردم چشم,142,love
روز حشر,142,religion
رحمه الله,141,religion
شب تار,137,love
دست دل,136,love
جان فدای,135,love
قرأ ابن,134,religion
سر مو,133,love
طلب کن,131,religion
غم هجران,131,love
سر مویی,131,love
دل عطار,131,love
آب بقا,129,philosophy
روز جزا,128,religion
موج سراب,128,daily
جهان پهلوان,127,daily
السلام مروی,127,religion
ابو عمرو,126,religion
ذره ذره,124,others
دل سنگ,124,love
رگ جان,124,love
چشم دل,124,love
دل شب,123,love
گرد یتیمی,123,love
نقد جان,123,love
برگ خزان,122,daily
سر زلفت,122,love
مصطفی ع,122,religion
کوی دوست,121,love
سبب نزول,121,religion
روز رزم,121,philosophy
بال هما,121,others
زخم زبان,121,philosophy
خم چوگان,120,love
حقیقت جان,119,philosophy
خلق عالم,119,philosophy
نسیم صبح,118,daily
حال دل,118,love
سنگ ملامت,118,daily
حضرت عزت,117,religion
زلف یار,117,love
علم معنی,117,others
راه طلب,117,religion
آب تیغ,114,religion
تیغ زبان,114,philosophy
خاک کوی,113,love
مصطفی ص,113,religion
علی بن,113,religion
خون دلم,112,love
رب العالمین,111,religion
روز رستاخیز,110,religion
بهر خدا,109,religion
عمر خطاب,108,religion
بیک ره,107,others
دست دعا,107,religion
نفس مردم,106,philosophy
خرابات مغان,106,philosophy
غبار خط,104,others
سر تیغ,104,others
ملک الموت,103,religion
درین باغ,103,others
جهان جان,102,love
بار غم,102,love
بار دل,102,love
اى موش,102,others
پرتو خورشید,101,others
برگ عیش,101,daily
حضرت پیغمبر,101,religion
معنی آیت,100,religion
رسول خدای,100,religion
ابن حسام,97,religion
خم زلف,97,love
شمس الدین,97,religion
سر اسرار,97,philosophy
سر لطف,96,love
شکست رنگ,96,love
نقش خیال,95,love
غبار خاطر,95,love
ابن عامر,95,religion
درین گلشن,94,philosophy
پر پروانه,92,daily
دین اسلام,91,religion
قرأ الباقون,90,religion
بو جهل,89,religion
عقل کل,89,philosophy
صبح قیامت,88,religion
بوی پیرهن,88,love
قرأ الآخرون,88,religion
قدس الله,88,religion
کوه غم,88,love
شمس الحق,86,religion
نماز شام,86,religion
عرق شرم,85,philosophy
سایه بال,85,others
آیت فرو,85,religion
قرأ حمزة,85,religion
خواب غفلت,83,philosophy
طول امل,83,love
حق سبحانه,83,religion
سر کار,83,daily
جعفر صادق,82,religion
آب گوهر,82,daily
دود دل,82,love
فصل بهار,82,daily
جهان آفرین,81,philosophy
مصطفی صلی,81,religion
نمود عشق,80,love
شب معراج,79,religion
جوهر معنی,79,others
استاد امام,79,religion
جوش گل,79,philosophy
زیر پای,78,others
رگ ابر,78,daily
لا جرم,77,others
فصل خزان,77,daily
رنگ گل,77,philosophy
راه خدا,77,religion
یقین میدان,76,religion
حقیقت عشق,76,love
روی اشارت,76,love
روی لطف,76,love
بسم الله,76,religion
مبدع حق,76,religion
یحیی بن,76,religion
سر فرو,75,philosophy
زیر خاک,74,daily
شبنم گل,74,daily
صاحب راز,73,philosophy
خدمت شیخ,73,religion
سرو ناز,73,love
سر زلفش,73,love
دامن صحرای,72,daily
مهر خاموشی,72,love
زیر پا,72,others
موج خطر,72,others
بیت المقدس,71,religion
الله تعالی,71,religion
سام یل,71,others
روز جنگ,71,philosophy
درد طلب,71,love
آفتاب قیامت,71,religion
چشم زخم,71,daily
خانه زین,71,others
دل صائب,71,love
جوی شیر,70,religion
دیده خون,70,love
جام شراب,70,philosophy
شاه دین,70,philosophy
درین جهان,70,philosophy
سر برون,70,philosophy
روز وصل,70,love
نقش نگین,70,daily
کار دل,69,love
ابراهیم ادهم,69,religion
شیر خدا,69,religion
روز ازل,68,religion
چین جبین,68,love
روز بدر,68,religion
پرده دل,68,love
ته دل,68,love
نگاه دار,67,love
بوی پیراهن,67,love
غم عشقت,67,love
جام جهان,67,philosophy
سنگ طفلان,67,others
بوی زلف,67,love
موی کمر,67,love
جام گیتی,67,philosophy
عشق جانان,67,love
شکست دل,67,love
جان جانان,66,love
قرأ ابو,66,religion
دست خدا,65,religion
اهل کتاب,65,religion
جمله ذرات,65,religion
سرو سهی,65,love
روز عید,65,daily
دست غم,65,love
سهی سرو,65,love
احمد بن,64,religion
سر منزل,64,daily
حقیقت ذات,64,philosophy
سلم مروی,61,religion
سر رشته,61,love
دل خسرو,61,philosophy
اهل نظر,60,philosophy
رضی الله,60,religion
عبدالله بن,59,religion
کوی خرابات,58,love
علی اکبر,58,religion
سام سوار,57,others
روز محشر,57,religion
سام نریمان,57,others
آتش غم,56,love
صانع عالم,56,philosophy
حضرت مروی,55,religion
شب هجر,55,love
چین زلف,55,love
باد صبح,55,daily
ایران زمین,55,philosophy
جمله جهان,54,philosophy
خدایگان جهان,54,philosophy
سر جان,54,love
حد قوت,54,others
سوی شهر,54,daily
دیر مغان,53,philosophy
سهل بن,53,religion
حضرت امیرالمومنین,53,religion
خداوند عالم,53,religion
درد درد,53,love
اى شهریار,53,daily
کنج دل,53,love
دین حق,52,religion
باد هوا,52,love
درد دردش,52,love
دوای درد,52,love
سر موی,51,love
محمد باقر,51,religion
لعل لبت,50,love
مرغ جان,50,love
راز دل,50,philosophy
روز شمار,50,daily
سر کویش,50,love
نفس کل,50,philosophy
تبریز شمس,50,others
روز بزم,50,daily
علم دین,50,religion
مرکز عالم,50,daily
حال دلیل,50,others
شداد عاد,50,religion
عالم دین,50,religion
شمس حق,49,religion
جناب شیخ,49,religion
دست بداشتن,49,others
بانگ نماز,48,religion
خداوند جهان,48,religion
چشم سر,48,love
بحر محیط,48,daily
آب دریا,48,daily
بار خدای,48,religion
چرخ گردان,48,daily
سخن گوی,47,daily
نگاه داشتن,47,others
صانع حکیم,47,religion
نظر کن,47,religion
ان شاءالله,47,religion
درد فراق,47,love
میان خلق,46,daily
روز بار,46,daily
خار خار,45,daily
اى گربه,45,others
آفرینش عالم,45,philosophy
الله عنه,45,religion
تیغ کین,45,others
اهل دنیا,45,religion
عالم ارواح,45,religion
نور آفتاب,44,daily
بیرون شدن,44,others
سر کوه,44,daily
مر نفس,44,others
ناصر دین,44,religion
بیم جان,43,others
سخن پایان,43,others
ره دین,43,religion
کف پای,43,daily
سرو قد,43,love
کف دست,43,daily
عشق بتان,43,love
خواجه علیه‌السلام,43,religion
ابراهیم خواص,42,religion
نره شیر,42,others
طلب کردن,42,others
لوح دل,42,love
ترک سر,41,love
ماه رمضان,41,religion
شاه چین,41,love
سر سودای,41,love
جان آفرین,41,love
پی تاریخ,40,others
مهر علی,40,religion
حضرت صادق,40,religion
نزد خدا,40,philosophy
ابن عطا,40,religion
مسعود سعد,39,religion
وقت سحر,39,daily
تیره شب,39,daily
روز آدینه,39,daily
بشر حافی,39,religion
وقت نماز,39,religion
رسول مصطفی,39,religion
سوی مرکز,38,others
کف راد,38,others
زهر سو,37,love
بلای عشق,37,love
زهر چشم,37,love
روی دوست,37,love
نور حق,37,religion
گرد دلیر,37,love
سوی کوفه,37,religion
حسن بصری,37,religion
دل افروز,37,love
ملک شاه,37,philosophy
جان خسرو,36,philosophy
ابر رحمت,36,religion
چاه زنخدان,36,love
آب جو,35,love
سوی میدان,35,love
جان اسیری,35,others
آه ازین,35,love
باد خزان,34,daily
ذرات جهان,34,daily
خداوند دین,33,religion
شیر حق,33,religion
علی جان,33,religion
باغ بهشت,33,religion
مفخر تبریز,33,others
سر آتش,32,love
پای بند,32,others
یاد خدا,32,religion
قطع نظر,32,love
دست حق,32,religion
روح الامین,31,religion
شه دین,31,religion
برق آه,31,love
رقص کنان,31,love
سر عشق,31,love
گرد جهان,31,philosophy
بنده خسرو,31,philosophy
فتح باب,31,religion
سر آب,31,daily
طریق عشق,31,love
کوی عشق,30,love
سگ کوی,30,love
عالم غیب,30,philosophy
بندگان خدا,30,religion
بن دندان,30,others
جان شیرین,30,love
قصد جان,30,love
ملک دل,30,love
وزان پس,29,others
پای دل,29,love
حدیث عشق,29,love
سر انگشت,29,love
سر دل,29,love
دل جامی,29,love
مصرع بیدل,29,others
مدح علی,28,religion
سوی شاه,28,philosophy
بزم وصل,27,love
اهل درد,27,love
ذره یی,27,daily
غزل جا,26,daily
چراغ دل,26,love
وصل دوست,26,love
ملک ایران,25,philosophy
بهره مند,25,others
سر خوان,24,others
مراد دل,24,love
جرعه یی,24,others
آتش دوزخ,24,religion
شکر خدا,24,religion
کار وفا,24,love
شیخ شهر,23,religion
مرغ روح,23,love
سوز عشق,23,love
ولی المؤمنین,23,religion
جعفر بن,23,religion
ساقی قدحی,23,love
سخنان بزرگان,22,others
مفاعلن فعلاتن,22,religion
آل علی,22,religion
صورت دیوار,22,others
دل کباب,22,love
سر میدان,22,others
نور تجلی,22,love
چشمه سار,22,love
زخم دل,21,love
دل غم,21,love
خانه دل,21,love
وقت گل,21,daily
فاعلاتن فاعلاتن,21,others
قدس سره,21,religion
بنده جامی,20,religion
رود جان,20,love
کوی یار,20,love
زمین بوسه,20,love
چشم جهان,20,love
جام عشق,20,love
براه عشق,20,love
مرد حق,19,philosophy
پس پرده,19,philosophy
کار ملک,19,philosophy
نقش غیر,19,others
جامی ازین,18,others
کنج قفس,18,others
آتش شوق,18,love
غیر حق,18,philosophy
پرتو روی,18,love
سر بسر,18,love
غم هجر,17,love
غرقه روح,17,others
عزیز مادر,17,love
ایران مال,17,philosophy
ماه مهر,17,love
سایه سرو,17,love
وصل یار,17,love
خاک آستان,17,love
آتش سودای,17,love
غیر ازین,17,others
وقت کار,16,philosophy
کشور ایران,16,philosophy
شمع دل,16,love
مرغ چمن,16,daily
گوش جان,16,daily
روی کار,16,daily
دل خلق,16,daily
لعل لب,16,love
دشمن جان,16,love
صبح ازل,15,religion
دست عوام,15,daily
دست خواص,15,daily
سر کین,15,philosophy
عرصۀ گیتی,15,daily
