word,freq,type
خدای تعالی,1887,religion
چشم بد,742,love
آب روان,715,daily
ماه نو,671,love
دل پر,491,love
حق تعالی,480,religion
مه نو,439,love
شب تیره,400,philosophy
سرو روان,396,love
دل تنگ,391,love
روز روشن,317,philosophy
شیر نر,296,religion
لاله زار,291,love
زین بیش,278,others
دل خسته,275,love
خورشید تابان,270,daily
خدای عزوجل,262,religion
خواب گران,251,philosophy
خدای عز,246,religion
شب تاریک,244,philosophy
خداوند تعالی,242,religion
الله تعالی,241,religion
زلف پریشان,239,love
دل دیوانه,239,love
خلد برین,233,religion
مشک ناب,228,religion
گرز گران,203,philosophy
راه دور,203,daily
خط سبز,202,daily
سرو خرامان,202,love
خاک تیره,201,daily
لب شیرین,188,love
جهان پر,185,philosophy
آه سرد,182,love
آب زلال,182,daily
جان پاک,181,philosophy
ریگ روان,180,love
نفس کلی,180,love
بار گران,177,philosophy
دل روشن,173,philosophy
دولت بیدار,173,philosophy
سنگ خاره,173,love
راه راست,171,philosophy
ابو بکر,167,religion
عالم بالا,164,philosophy
بخت جوان,163,love
حق جل,163,religion
دل آگاه,160,philosophy
دست تهی,159,daily
چرخ بلند,153,philosophy
رطل گران,152,daily
چرخ برین,151,philosophy
پیل مست,149,love
دل سوخته,149,love
دل عاشق,148,love
بخت بد,147,love
خواب خوش,146,love
دست راست,143,philosophy
دل خوش,143,daily
نفس ناطقه,140,philosophy
راز نهان,138,philosophy
ماه تمام,136,love
شب زنده,136,daily
سرو آزاد,132,philosophy
لب خشک,129,love
چشم باز,128,philosophy
گل سرخ,127,love
دلی پر,127,love
موی سفید,124,philosophy
جان شیرین,123,love
خط مشکین,122,love
تیغ تیز,121,love
عمر دراز,121,daily
عالم پر,119,daily
گل سوری,115,love
دل شاد,114,daily
چشم سیه,113,love
دل شکسته,112,love
دل پرخون,111,love
تن خاکی,111,philosophy
دل بیدار,108,philosophy
زخم نمایان,108,love
خواب پریشان,107,love
خاک سیه,105,daily
راز نهانی,105,philosophy
ایزد تعالی,104,religion
گل خندان,104,daily
آتش سوزان,103,love
چشم روشن,100,philosophy
قامت خم,100,love
خداوند فراخ,99,religion
بوی خوش,98,daily
دل مسکین,98,love
حیدر کرار,96,religion
خون مرده,93,love
دل افسرده,90,love
پای خم,88,love
چشم گریان,87,love
دل پاک,87,philosophy
نماز پیشین,86,religion
قال مجاهد,86,religion
چشم مست,85,love
سرو سهی,85,love
شراب ناب,84,daily
بخشایش مهربان,84,religion
دل زنده,84,daily
بخت سیه,83,others
قیل معناه,83,others
پهلو تهی,83,others
وادی ایمن,82,philosophy
رنج بسیار,81,daily
دل زار,81,love
آتش سوزنده,80,love
لب جوی,80,daily
اسم اعظم,79,religion
جهان جوی,79,daily
خوی بد,78,daily
آیت منسوخ,78,religion
دم سرد,78,love
یقین باز,78,philosophy
ماء معین,77,philosophy
بت پرستی,77,love
عالم جسمانی,76,philosophy
قال تعالی,76,religion
صراط مستقیم,75,philosophy
چرخ کبود,75,daily
لب خندان,73,daily
بلبل مست,72,daily
لب تشنه,72,love
لوح محفوظ,72,religion
رخ زرد,72,daily
یزدان پاک,72,religion
نعمت الوان,70,religion
دل باز,70,love
باد سرد,70,daily
مرد دانا,69,philosophy
ماه تابان,69,love
چشم مستش,69,love
نفس سوخته,69,love
کار زار,68,love
عمر عزیز,67,philosophy
راز پنهان,66,philosophy
مه تابان,66,love
زر ناب,66,daily
طوق قمری,66,others
بهشت برین,66,religion
جان گرامی,65,love
چشم حیران,65,daily
جان عزیز,64,love
چشم پر,64,love
زلف مشکین,64,love
یوسف مصری,63,religion
بلبل شوریده,63,daily
بکر صدیق,63,religion
خواب بیدار,63,philosophy
ازین بیش,63,others
خبر درست,63,philosophy
زلف سیه,62,love
ابر بهاری,62,daily
دست کوته,62,love
وقت خوش,62,daily
لب خاموش,60,philosophy
ذوالنون مصری,60,religion
مسجد حرام,60,religion
زهد خشک,59,philosophy
نفس اماره,57,religion
مشت خاکی,57,others
سر باز,57,others
سخن راست,57,philosophy
عالم علوی,56,philosophy
قد خم,56,love
بو بکر,56,religion
راه دراز,55,philosophy
کوه گران,55,daily
عرش برین,54,philosophy
دست باز,54,love
خواب راحت,54,daily
روی خوب,54,love
شمشیر تیز,54,daily
چشم کم,54,love
دل آشفته,53,love
خداوند عز,52,religion
چیزی پدید,52,others
جان باز,51,philosophy
بنده مؤمن,51,religion
موی چینی,51,love
چشم پاک,51,daily
راه گم,51,philosophy
تیغ آبدار,50,others
نگاه گرم,50,love
بخت سیاه,50,love
چشم سیاه,50,love
کبک دری,49,others
بخت تیره,49,love
عمر جاودان,48,philosophy
کف خاکی,47,others
مهر تابان,47,love
دل گم,47,love
جسم کلی,47,philosophy
نرگس مست,46,love
رخ زیبا,46,love
صبح صادق,45,daily
عقل کلی,44,philosophy
دل خراب,44,love
دست چپ,44,others
ازین غافل,44,others
تخم سوخته,44,others
ماه حرام,43,religion
مرغ زیرک,43,daily
سام دلیر,43,love
بلبل خوش,43,daily
زاهدان خشک,42,philosophy
زلف سیاه,42,love
راز مطلق,42,philosophy
دل تنگم,42,love
گوهر سیراب,42,love
باده نوش,41,daily
گنبد دوار,41,philosophy
کقوله تعالی,41,religion
آب تلخ,41,daily
قوه عاقله,41,philosophy
خداوند جل,41,religion
نقش خیالی,41,philosophy
معنی بیگانه,41,others
دل آسوده,40,love
رگ ابری,40,daily
دیده بیدار,40,philosophy
دل بیچاره,40,love
