word,freq,type
جان,77725,love
دست,53927,love
چشم,50247,love
عشق,50197,love
جهان,43392,philosophy
آب,41775,daily
الله,40009,religion
کار,35487,daily
غم,33244,love
خاک,32913,daily
باد,31590,daily
شب,31545,love
عالم,29698,philosophy
خون,29371,love
سخن,28668,philosophy
آتش,27566,daily
دیده,26187,love
لب,25529,love
ره,25010,philosophy
حق,24737,philosophy
شاه,24518,philosophy
صد,22729,others
یار,22364,love
نفس,22251,philosophy
ملک,21407,philosophy
خوش,21122,daily
زلف,21068,love
ماه,21027,love
درد,20612,love
مرد,20599,philosophy
دوست,20018,love
زمین,19650,daily
دم,19392,love
تن,19374,love
خلق,19031,philosophy
عاشق,17482,love
نام,17460,philosophy
عمر,16968,philosophy
دین,16848,religion
علی,16817,religion
بد,16775,daily
تیغ,16748,love
خانه,16631,daily
زبان,16510,philosophy
هزار,16451,daily
نور,16379,love
مهر,16272,love
اهل,16148,daily
عقل,15903,philosophy
رخ,15171,love
مست,14990,love
گرد,14971,daily
جام,14858,love
فلک,14725,philosophy
آفتاب,14496,philosophy
راست,13833,philosophy
آخر,13827,others
دریا,13789,daily
خورشید,13262,daily
حسن,13207,love
رنگ,13171,daily
شمع,12910,love
علم,12824,philosophy
چرخ,12761,philosophy
خواب,12739,daily
شکر,12716,religion
دولت,12685,philosophy
سنگ,12628,daily
معنی,12619,others
آسمان,12467,daily
یاد,12460,love
پرده,12377,love
هوا,12359,religion
خبر,12317,daily
شیر,12159,religion
زر,12138,philosophy
روان,12125,love
پیر,12094,philosophy
باغ,12056,daily
جمله,11903,others
برد,11896,others
مردم,11681,daily
گوهر,11515,daily
خط,11495,others
دشمن,11490,philosophy
روشن,11331,daily
بنده,11233,religion
پا,11218,daily
پاک,11166,religion
مه,11120,love
سرو,11062,love
زن,10971,philosophy
صورت,10777,philosophy
گوش,10459,daily
کوه,10429,daily
راز,10242,love
تیر,10055,love
صبح,10044,philosophy
قدر,9794,religion
دنیا,9703,philosophy
روزگار,9647,philosophy
کف,9637,love
بحر,9611,philosophy
شه,9362,philosophy
امید,9309,philosophy
رسول,9297,religion
بند,9186,love
فرو,9160,others
نقش,9157,philosophy
خیال,9054,philosophy
دامن,8966,love
تعالی,8913,religion
آدم,8886,religion
ابر,8864,daily
مو,8842,love
مرغ,8828,daily
نیک,8791,religion
ده,8761,others
وصل,8662,love
سایه,8556,love
سینه,8370,love
امروز,8359,daily
طلب,8119,religion
باده,8097,love
جمال,8079,love
خو,7875,philosophy
خار,7864,love
لطف,7829,religion
حقیقت,7813,philosophy
شهر,7771,daily
شیخ,7713,religion
بهار,7630,daily
کام,7586,love
بخت,7503,love
نی,7484,philosophy
گردون,7474,philosophy
نشان,7329,philosophy
گنج,7220,daily
لعل,7146,love
قدم,7034,philosophy
صائب,6972,philosophy
روح,6953,religion
ناله,6897,love
لاله,6821,love
تنگ,6799,others
خرد,6770,philosophy
حاصل,6741,others
بلا,6617,love
جگر,6582,love
خداوند,6558,religion
داغ,6542,love
نهاد,6530,others
ترک,6413,love
طبع,6389,daily
نهان,6334,others
اشک,6332,love
سلطان,6324,philosophy
خم,6296,love
رنج,6235,philosophy
برد#بر,6218,philosophy
بینی,6201,daily
عجب,6135,others
بسته,6107,others
شیرین,5885,love
شراب,5675,love
تست,5674,religion
خاطر,5638,others
له,5570,love
آرد,5528,others
کوی,5500,love
دام,5487,love
چمن,5478,love
صفت,5466,love
جوان,5460,philosophy
مرگ,5412,philosophy
برگ,5385,philosophy
عهد,5375,philosophy
قد,5311,love
بلبل,5251,daily
خدمت,5147,religion
شوق,5136,love
پنهان,5098,religion
یوسف,5078,religion
ناز,5048,love
گرم,4961,love
همت,4960,philosophy
هستی,4952,philosophy
بلند,4883,love
محمد,4871,religion
آیینه,4870,philosophy
کمال,4861,religion
زنده,4845,daily
سحر,4812,religion
تاب,4802,love
رود,4737,daily
حکم,4713,philosophy
حلقه,4700,religion
ساقی,4694,love
نگاه,4665,love
پدر,4649,religion
رب,4640,religion
کاشت#کار,4603,philosophy
ذات,4568,religion
صبر,4508,religion
شاد,4487,love
حضرت,4482,religion
خال,4471,love
زخم,4464,others
گذشت#گذر,4417,philosophy
سیاه,4400,others
جانان,4370,love
مال,4362,philosophy
وفا,4303,love
کرم,4249,religion
توان,4227,others
اسرار,4074,religion
جوهر,4016,religion
جلوه,3927,love
بزم,3899,daily
نعمت,3898,religion
ابن,3876,religion
حرف,3791,others
بهشت,3772,religion
ظاهر,3758,philosophy
موج,3742,daily
وصال,3735,love
غنچه,3709,daily
دهان,3693,love
الذین,3666,religion
پسر,3646,religion
إن,3643,religion
سیر,3631,philosophy
اصل,3624,philosophy
سودا,3619,love
نماز,3579,religion
مقام,3575,love
فیض,3536,religion
نیکو,3530,philosophy
ثم,3529,religion
صاحب,3488,others
نو,3482,daily
زار,3454,love
جفا,3378,love
فضل,3358,religion
جنگ,3328,philosophy
فرمان,3315,philosophy
عدل,3309,philosophy
ذلک,3302,religion
زمانه,3298,philosophy
نمود,3297,others
آیت,3274,religion
بال,3248,others
غبار,3233,daily
آینه,3212,daily
دیدار,3211,love
یقین,3121,religion
گران,3102,others
موسی,3098,religion
لشکر,3086,daily
قوم,3079,daily
گریه,3065,love
هرچه,3056,others
چراغ,3044,philosophy
پریشان,3020,love
ابرو,3016,love
مصطفی,3016,religion
فرزند,2999,others
پادشاه,2993,philosophy
خسرو,2985,daily
خواجه,2984,daily
قول,2963,religion
هذا,2952,religion
سپاه,2915,philosophy
چین,2900,love
ذره,2890,philosophy
میدان,2881,others
شاخ,2873,others
سوز,2833,love
بیدل,2829,love
گیتی,2798,philosophy
هفت,2790,others
جل,2785,religion
شعله,2783,love
چنگ,2751,love
رحمت,2738,religion
سود,2727,daily
الذی,2715,religion
رخت,2696,love
گوی,2670,philosophy
مجنون,2626,love
دوش,2598,others
گوشه,2578,others
زند,2558,others
بت,2556,others
عز,2549,religion
اله,2546,religion
اندیشه,2546,philosophy
لک,2545,religion
نسیم,2525,daily
مردی,2503,philosophy
گهر,2486,daily
جور,2480,love
هرکه,2475,others
قوت,2453,religion
یوم,2440,religion
دیو,2429,religion
خراب,2412,daily
فراق,2383,love
مژگان,2376,love
جسم,2361,love
فقال,2342,religion
مشک,2330,love
أن,2329,religion
کتاب,2320,philosophy
نامه,2300,philosophy
تازه,2253,daily
هوس,2208,religion
چاک,2191,love
کمان,2167,love
گردن,2164,love
آرزو,2133,love
إلا,2121,religion
غمزه,2114,love
گلشن,2109,daily
صبا,2095,religion
عیان,2082,others
قرآن,2072,religion
عذاب,2039,religion
شادی,2035,daily
أ,2032,religion
اسیر,2030,love
شیشه,2029,others
کافر,2018,religion
تلخ,2015,love
دشت,2009,daily
تیره,1994,daily
هجر,1990,love
صحرا,1975,daily
غافل,1972,religion
سگ,1958,others
شبنم,1956,daily
حدیث,1942,religion
ایمان,1940,religion
دامان,1924,daily
گره,1921,love
فیه,1918,religion
جواب,1895,others
مجلس,1890,others
جود,1889,philosophy
نیم,1877,religion
العالمین,1835,religion
حسرت,1824,philosophy
سیم,1823,philosophy
پروانه,1821,love
برق,1820,others
گدا,1819,philosophy
شمشیر,1815,religion
چهره,1806,love
ذکر,1806,religion
ساغر,1764,love
سیه,1764,love
جنون,1756,love
شور,1750,love
بما,1747,others
لو,1745,others
عیش,1742,daily
بیم,1742,others
النبی,1737,religion
شعر,1735,daily
صید,1731,love
درخت,1729,daily
شوخ,1708,daily
فتنه,1702,love
ایران,1696,daily
سپهر,1696,daily
الدنیا,1685,religion
مدح,1674,religion
عیسی,1669,religion
هنر,1658,philosophy
زندگی,1654,philosophy
الناس,1649,religion
دیوانه,1649,love
شرم,1648,love
محبت,1641,love
نگار,1628,love
دعا,1607,religion
الجنة,1604,religion
تشنه,1601,daily
علیک,1599,religion
درست,1586,philosophy
عبد,1585,religion
رشته,1577,daily
ابو,1571,religion
کما,1558,others
دلیل,1552,philosophy
مسکین,1548,daily
سخت,1545,others
سام,1543,others
شکست,1539,others
جوش,1538,love
دمی,1536,daily
حباب,1535,daily
تخت,1523,daily
عطار,1516,daily
منزل,1508,love
گریبان,1504,daily
مس,1501,others
دراز,1498,others
دانه,1492,philosophy
خزان,1490,philosophy
رند,1488,others
دانش,1484,philosophy
قطره,1478,daily
بستان,1477,others
مؤمن,1475,religion
گلستان,1475,daily
سرا,1471,love
چشمه,1470,daily
بمعنی,1467,others
النار,1467,religion
الأرض,1462,religion
خیر,1456,religion
هذه,1454,religion
جامه,1443,daily
عباس,1442,religion
شرع,1435,religion
خنده,1420,daily
صدف,1415,love
شام,1409,daily
قل,1391,religion
خوار,1390,philosophy
مادر,1387,love
رگ,1385,daily
نگه,1381,daily
دان,1374,philosophy
کفر,1369,religion
شمس,1367,daily
حیات,1364,love
هی,1354,religion
ساعت,1339,others
پرواز,1336,others
آشفته,1332,love
حیرت,1304,love
خشک,1303,others
خضر,1292,religion
قفس,1287,philosophy
روا,1276,others
ایزد,1266,religion
دیوار,1261,philosophy
ورنه,1256,others
شکوه,1249,love
فر,1244,philosophy
نزاری,1243,others
مشکل,1243,others
تاج,1217,others
تار,1210,others
قیامت,1208,religion
مراد,1208,love
تماشا,1206,daily
هجران,1204,love
سیل,1198,love
فعل,1193,others
خر,1188,others
شهریار,1181,others
طفل,1178,daily
جو,1177,philosophy
ذوق,1160,love
زاهد,1153,philosophy
دود,1141,daily
جدا,1136,others
حسین,1133,religion
گیر,1123,others
سوار,1114,others
غفلت,1090,philosophy
بیدار,1082,philosophy
رزم,1074,philosophy
دلبر,1072,love
مغز,1063,philosophy
سید,1049,religion
عرق,1048,love
واجب,1044,religion
حزین,1036,love
طاعت,1034,religion
آنگاه,1033,others
خسته,1028,daily
خشم,1022,daily
مینا,1008,daily
خورد#خور,1006,others
جاه,1006,philosophy
فرق,1003,others
خرم,1000,daily
سلیم,995,religion
السلام,993,religion
سفر,991,others
٭٭٭,991,others
پیل,989,daily
جویا,989,others
رخسار,984,love
زنجیر,977,love
بسکه,973,others
گفتار,972,others
سرمه,972,love
دماغ,969,others
آغوش,959,love
خصم,957,daily
پیکر,957,love
کعبه,943,religion
اوحدی,937,religion
اسب,933,others
یزد,929,daily
خواجو,916,daily
یمین,915,others
فغان,914,love
زه,901,love
جفت,899,love
سپه,897,philosophy
یی,863,others
ساخت,863,others
الاسلام,862,religion
خور,856,others
امام,855,religion
امشب,849,daily
فراز,849,others
جهت,844,others
حکمت,835,philosophy
صحبت,831,daily
رضی,831,religion
بانگ,824,daily
شرف,818,philosophy
کردار,808,philosophy
زود,808,others
دلیر,806,love
تیز,805,others
معرفت,805,religion
عرفی,801,love
دوستان,767,love
چونک,766,others
توبه,764,religion
محتشم,762,philosophy
فروغ,758,daily
نرگس,744,love
جناب,743,others
برادر,741,love
نان,739,others
دوا,727,philosophy
دیر,722,philosophy
پیغمبر,718,religion
قضا,709,religion
قاسم,707,religion
خام,700,philosophy
حیوان,699,philosophy
خرابات,690,love
تبریز,686,others
گناه,685,religion
سعدی,680,philosophy
درمان,677,love
آری,671,others
چاره,664,daily
کمر,651,love
عرش,645,religion
نوش,639,love
ستم,631,philosophy
فایز,630,others
باب,619,philosophy
زهر,601,love
وطن,600,philosophy
هلال,580,love
سوخت#سوز,555,love
سعیدا,553,religion
وحش,552,others
نوا,532,others
رقیب,507,love
کشور,497,philosophy
ئی,496,philosophy
ملت,490,philosophy
فضول,485,others
آزاد,481,others
عنان,474,daily
سد,450,daily
امیر,415,philosophy
خوان,402,daily
لیل,401,religion
مشتاق,379,love
محنت,378,love
نکته,377,philosophy
فنا,364,philosophy
دزد,358,daily
قصاب,333,daily
دهر,330,philosophy
نغمه,328,love
میر,325,philosophy
طغرل,324,daily
نقد,320,philosophy
فانی,319,philosophy
شاهد,315,love
سرخ,312,love
وزیر,312,philosophy
خامه,309,others
ادب,304,philosophy
کودک,303,daily
کهن,292,daily
صفا,290,love
وصف,290,love
جوی,289,daily
کور,287,philosophy
طریق,281,love
مقصود,270,love
معشوق,269,love
میل,266,love
آذر,262,others
کلک,241,philosophy
آشنا,234,love
قلم,233,philosophy
آشیان,233,daily
طبیب,215,daily
[,213,others
],213,others
منت,212,others
تهی,206,others
مانده,197,others
زی,16,philosophy
بوسه,12,love
کشت,10,daily
دندان,10,daily
زرین,9,daily
طرب,8,daily
مار,8,others
آهو,8,others
بید,8,others
دریغ,7,others
جعد,7,others
خراسان,7,others
نبیذ,7,others
رودکی,7,others
گون,7,others
نوبهار,7,others
فاخته,7,others
بوستان,6,others
شگفت,6,others
گاو,6,others
درو,6,others
سیرت,6,philosophy
زاری,6,others
آر,6,others
هموار,6,others
خیره,6,others
عطا,6,others
نگریست#نگر,6,others
گور,6,philosophy
مهمان,6,others
آوا,6,others
دهن,6,others
بری,5,others
گردش,5,others
ایا,5,others
عذر,5,others
برده,5,others
سرد,5,others
نشین,5,others
سپید,5,others
ستاره,5,others
آیین,5,philosophy
شاعر,5,others
چوگان,5,others
حیران,5,others
سبز,5,others
انده,5,others
کسا,5,others
انگشت,5,others
ریش,5,others
آسان,5,others
کشتی,5,others
جهد,5,others
سپنج,5,others
قدح,5,others
صف,5,others
کاو,5,others
پیچیده,5,others
یاقوت,5,others
نهم,5,others
نادان,5,philosophy
نیل,5,others
ملوک,5,philosophy
