Boolean,Bagheri,Majidi,Kousheshi,avg Bagheri,avg Majidi,avg Kousheshi,AVG ALL
"q1 = ""A Survey of Data Augmentation Approaches""",,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,1,1,1,,,,
013eb12ce5468f79d58bf859653f4929c5a2bd14,1,1,1,,,,
69870a6f189a8a68d6dc1e25b6024291711f43a0,1,1,1,,,,
ddbbf8dd6f4cc4cbf6efba22196e03b37bcd349f,1,1,1,,,,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,1,1,1,,,,
4043a936960de8e149dc208178fe1bcb157c7fa4,1,1,1,,,,
44148499c23789781873f1ca56449c33422045f4,,,,,,,
982aa0ee48a5fd228fb9fb3b3edd319b8af6f76d,1,1,1,,,,
2a8a2ab581f2e89c9a66e1b353346e1bb86ee6f6,,,,,,,
31852f9fc732c0868af12d631c72693702d80521,,,1,0.7,0.7,0.8,0.73
"q2 = ""Testing of NLP Models with CheckList""",,,,,,,
33ec7eb2168e37e3007d1059aa96b9a63254b4da,1,1,1,,,,
79b8283f7abb75217698d2d90b536aa68ed3cb14,1,1,1,,,,
5f5e9366983b53d4a753627d1144daa8e890e02f,1,1,1,,,,
b6c06051ffa45d4e6e1e72e3fbdbf624ae5b7fc4,1,1,1,,,,
b3be524dbc1d52c4712145efffe06470f99ec30d,,,1,,,,
642038c7a49caa9f0ac5b37b01fab5b2b8d981d5,1,,1,,,,
30614777df1670d310ee713e95a01f401d303e58,,,1,,,,
3cc2f69951cd24fe61be4cf32d62afbac297bc2b,,,,,,,
5406e153957dd7a165264da6e6e5d81251997404,1,,,,,,
9fec5868542b4d9070306f1418d1d21666226e90,1,,,0.7,0.4,0.7,0.6
"q3 = ""interior-point methods for multistage""",,,,,,,
2f572d421f09ee3110a497bf2b73c15c032b92dd,,,,,,,
5ac576e12766e343abdde7ce4b0217f5ee857fcf,,,,,,,
b6a3f7cd1472d08eefecfe7cafa55d298a218b03,1,1,1,,,,
e54f6751476ba07928b3f78c097150aa610acffc,,,,,,,
ca87d3b98b149bdf3e46ee9a61435a3185be02aa,,,,,,,
3a7bbc46795929f0eace82b64c44c92a48682fb5,,,,,,,
