fasttext tf_idf,Bagheri,Majidi,Kousheshi,avg Bagheri,avg Majidi,avg Kousheshi,AVG ALL
"q1 = ""natural language processing data augmentation""",,,,,,,
bb98ac25d22626b9bb383b9270e5256c0413c649,1,1,1,,,,
860ac6363bc6fd6aef728b3adfb517f798795dcd,1,1,1,,,,
45048eee994bffe8915e905ab5c24e34512fb4a1,1,1,1,,,,
013eb12ce5468f79d58bf859653f4929c5a2bd14,1,1,1,,,,
4883e7cfd909437106e48f03506a1f07de63b161,1,1,1,,,,
4bb571fe9bde23289132cf46cdfe4753ea57b743,1,1,1,,,,
c2a79e2a65b721d4de5f6d4806323174b9f8f393,1,1,1,,,,
02f3c052a9cf675a6f033eac56c9dacb0a10ea28,1,1,1,,,,
237992be146743e9858f8035dbbe92421ff9a889,,,1,,,,
2db01b9466e4251a2140fc2ef9d216417b48cbe4,1,1,1,0.9,0.9,1,0.93
"q2 = ""using tweets in Persian/Farsi on COVID-19
analyzing the topics discussed among users,
 to gauge and track the response to the pandemic
 and how it evolved over time.
 classify the contents and frequency of each category of topics""",,,,,,,
0f91f083101ca5c322d2973121bd0325b8ddde10,1,1,1,,,,
2f2b34d51d9b0c8efe93688990d2e237af9e8543,1,1,1,,,,
24f0c288d51ff334ef69868f5ad56c5f67f2038d,1,1,1,,,,
b7765bf4f8ea1d7cd4a16835806bedc02b688aa8,,,,,,,
bfd65de371e24b7a6e4314a601d4a204a50cb008,1,1,,,,,
a5defd3eb9f99d7b423c65e251a65cebf51d627f,,,,,,,
0a60150526e9dbd55c26b3e8ced4d0e0fede4517,,,,,,,
a5e747bfe100e4ab0eebceaf3dcb0c00334f6f65,1,1,1,,,,
a25b43b96b5b2b12e2b617d632a9d251c48dde31,,,,,,,
956cc65a5fa297d9e38c5d1da910fa6de02bdf0c,1,1,1,0.6,0.6,0.5,0.56
"q3 = ""The growth of social web contributes vast amount
 of user generated content such as customer reviews,
 comments and opinions.""",,,,,,,
667db5aa6d76425a98eb4ca259d873ca947744be,1,1,1,,,,
b407ed5ff349acb594c69063aa023fc4634c0320,1,1,1,,,,
150c1de556618fb278b3a3beed04b327edd34a3c,1,,,,,,
a5ae9f992264908e51c7925280f42ee17a500858,,,,,,,
