tf_idf,Bagheri,Majidi,Kousheshi,avg Bagheri,avg Majidi,avg Kousheshi,AVG ALL
"q1 = ""Analysis of Unknown Lexical Items""",,,,,,,
1ad7ffcc8b15a8ab7117b7c6990adb3d13e592f5,1,1,1,,,,
70d6373b2a358e9ce7adf21db76bd324696ddbb6,1,1,1,,,,
902493094eae4458a8f4cb70ab883a3885651607,,,1,,,,
739bf9a7451712bca3094e626632dce0ae715224,,1,1,,,,
eda92d98e3b79bdfcb332f48deb7da69142f7502,1,1,1,,,,
d8cde1e733ea6fdccde5f237824e8cf56e21c0ca,1,1,1,,,,
ea3a0fac4da5953409536211db3933f9224c4cf9,1,1,1,,,,
3f49f023dc8832c94e3afb80ab8698af45e3fbfc,1,1,,,,,
28ccc177bf5a53e26f7effc46e24ba6cbc2797c5,,1,1,,,,
77d57c2a63f44f8956be3f493a42376969ea9533,1,1,,0.7,0.9,0.8,0.8
"q2 = ""Parametric Nonconvex Decomposition""",,,,,,,
e78ff95cfd155d76f0759dd8a7d7cdc2e90a6f31,1,1,1,,,,
b3d8fae5470cbdc1c5846d3134e9474d7766533c,1,1,1,,,,
1a08e135ac11db0249c6afb4540672c5a349495e,1,1,1,,,,
5a607856fa859a2e94d603102580489b36d1b30e,1,1,1,,,,
a0c492203dcd96e4d94ed93160123e67dec34bf9,1,1,1,,,,
dcd3297bd1f51c5b7811040320d8d8a386c69f11,,,1,,,,
a87222cde4fc81ec91c87537adae9a96b77e46be,1,,,,,,
8c5fdd46b6eaf7a2894390ecb72712ca4bcc5af7,,,,,,,
13f7b88403ddf955dcdfc52b6376b843c746fea2,,,,,,,
20faec304de159b4cb252fe1ac5d94d709e0d93d,,,,0.6,0.5,0.6,0.56
"q3 = ""Varying Linguistic Purposes of Emoji""",,,,,,,
cbbaf2d682a9d34fe99ac6be660e6e350e976dfa,1,1,1,,,,
e66153be255717df3e505d7b7940636e18d55b57,1,1,1,,,,
2a8b6f990a5ddf0122aae82a46359b03031f302b,1,1,1,,,,
7d9b79fd324ae776addfce94ecdd8802c72d87e1,1,1,1,,,,
4f7f6683c678e82fee5c156fb8f4538fd212235f,1,1,1,,,,
52d8282bb64e38719a26ec8a7a9feb89a11a6b73,,1,1,,,,
50071d84796feba04e688f668511f997ba464b38,1,1,1,,,,
17a95271f4ad41feede1b54f073a409841cd88b4,,,,,,,
afc2850945a871e72c245818f9bc141bd659b453,,,,,,,
9272961455fa09b5f561e55638621f11a5883345,,,,0.6,0.7,0.7,0.66
"q4 = ""Nonlinear Model Predictive""",,,,,,,
9937314e2884307d9f3bb2a62f1bfe9fdba91390,1,1,1,,,,
8088b6931c565503ee8bd7a913345e505a92d69a,1,1,1,,,,
90b4d65d426f4573b47dc0252088f9ec17e03e9e,1,1,1,,,,
9af3712f9d5cb4ef419cdf2f18fd7d25a5ac959d,1,1,1,,,,
8bfdd091d5f54273232ebc12da3abfd287f5174e,1,1,1,,,,
7589b68af07a48f76483c0195d47cb654dcbde24,1,1,1,,,,
db00948e6f03eca3d3252c9145bfd7b475976ab7,1,1,1,,,,
af5a6d7bf9bf3b6d2e78ee094285872798ce4cb6,1,1,1,,,,
81de39bdc4bcf1bdb7b7ee87d49c5cafb7bb4c26,1,1,1,,,,
ede0b73c48aab4431b49dafa405e6e3ea846c401,1,1,1,1,1,1,1
"q5 = ""Mitigating Spurious Correlations""",,,,,,,
3ca3ff98405b43fab32dcd7cbd6bd34261386e35,1,1,1,,,,
1f0e1657063ea38cf225eaf1c1187ae7b2e4a0e0,1,1,1,,,,
493fac37cea49afb98c52c2f5dd75c303a325b25,1,1,1,,,,
845cafab91da3441d56a8740f0c8038916863dcb,1,1,1,,,,
835ac3cbb41f2ec47718c5491211dd33b64f382b,1,1,1,,,,
87eb23f934a0e6293ee8ee9b147fe0d456e65c96,1,1,1,,,,
0ec122ced09eda481239db7c6db6bb66ff635229,1,1,1,,,,
0712334d1109248e52706f13aeff5281834727f8,1,1,1,,,,
2137ea33293a7474d067d1ad84a064bf051f8d19,,,,,,,
389ab0215cfd94b73040a5f2d5c84b10162f4567,,1,1,0.8,0.9,0.9,0.86
"q6 = ""NLP achieved progress""",,,,,,,
d11780d30df3a848a3164456e4282f6e887bfb22,1,1,1,,,,
7c3a7f2c121eb94dc05b4eaee5c9a2ed1007110b,1,1,1,,,,
96cd7974943d28f46f2768e44fecf281e4d85cb0,1,1,1,,,,
8f46fedbf8df14e3681396e8772c218019a2dc50,1,1,1,,,,
45048eee994bffe8915e905ab5c24e34512fb4a1,1,1,1,,,,
0ccb6025e2b5b99d531007928a7814d36260abab,1,1,1,,,,
72b0fd47c175b940290501a58780d98cfa5d5a09,1,1,1,,,,
6bc030c60c81bb42a12112cf79bd0e85ebc21b1c,1,1,1,,,,
8fd0a01fab4d474fbd70b8e9d41af158716defc5,,1,1,,,,
7a235e816704ed72aaac594bb4ffd91623cae69d,1,1,1,0.9,1,1,0.96
"q7 = ""detect cyber hate speech based on Arabic
 context over Twitter platform""",,,,,,,
5d3cacb8735a6c45e4df0b4e4b75a754d35177eb,1,1,1,,,,
7aecc17019619589b3bcbbb7f5289923878cf29f,1,1,1,,,,
bcdebc0740abc78376f003a1b77ca3e4adefcfc0,1,1,1,,,,
19de5f5ba7d4d3d38e53deeb9b2cde54e9c0d66a,1,1,1,,,,
965bbce7d9541e33ba0111b740edaafc117ff14f,1,1,1,,,,
3ab115ec7f7c708b2e469e07256d8cb1e0d0c670,1,1,1,,,,
d4f0b94d35481baceba14a859317f2428a23de07,,,1,,,,
ae5cb7b148f9d498404444f4167084943afba8e2,1,1,1,,,,
476e00771f2738da5d06944fad736cb8e0aa60c9,,1,1,,,,
b5386b25302ef6d3211f8a2160406f7040b1954d,1,1,1,0.8,0.9,1,0.9
"q8 = ""Unsupervised word representations have demonstrated
 improvements in predictive generalization on various NLP tasks""",,,,,,,
3ffbbfa569d5125b85b0ccb7625e77e556dfb493,1,1,1,,,,
afc2850945a871e72c245818f9bc141bd659b453,1,1,1,,,,
80824c5eb949d9cad155b64585fee8ae678d2b2f,1,1,1,,,,
9d7902e834d5d1d35179962c7a5b9d16623b0d39,1,1,1,,,,
5e365cf9ae3130451a6f54d9a19d46cd33ebfa0e,1,1,1,,,,
157a7ae44613a1fcf34e2be8c1e19a4f6e3c50e3,1,1,1,,,,
49e65b12d8d11f2ccb5ddd7be72a8f746b2d1bc2,1,1,1,,,,
26e743d5bd465f49b9538deaf116c15e61b7951f,1,,1,,,,
e5337161c93804e7d8892f43869c43d5ddbc9457,,,,,,,
da0cc33fac4d926eaa61f86566572a4653b3e990,,1,1,0.8,0.8,0.9,0.83
"q9 = ""fiber-based device able to control the
 polarization of an optical signal""",,,,,,,
b6a5b7a56b66348c55bec4aeb5f748623a02cba7,1,1,1,,,,
0bee91988e3c2f8274a04dde2c0a9e2d7d5af350,1,1,1,,,,
9081f079ef21ff275cde4265e3168f2c28af94da,1,1,1,,,,
901db9a26cdb11be8826e372eae8d7666bb57b5d,1,1,1,,,,
d0db9584ce6d7203f89d86ff1100dc30aacf283b,1,1,1,,,,
3b7427c386fe606a7834c8a3ee6bc6a2d271930a,1,1,1,,,,
1cd48f7b9aef93aef5ffe6499d16665a81f5234c,1,1,1,,,,
0e2e64236a6b4997fec2e2578eebb1f3a5e4226f,,,,,,,
39b0983aa4e25375789c684830fbdcc6e787eb8b,1,1,1,,,,
c619c5592337aa917d8700182e3eca1b7e142cf1,,,1,0.8,0.8,0.9,0.83
"q10 = ""growing ubiquity of Internet memes
 on social media platforms""",,,,,,,
7617402d6492ff80be03fdaad543c0a2d02bf884,1,1,1,,,,
4f7f6683c678e82fee5c156fb8f4538fd212235f,1,1,1,,,,
7a58fcde6a05f2cf251eac27e3a0d59fe2b549f2,1,1,1,,,,
6f37f45989404d3e175db47f6d6dac14b37cb590,1,1,1,,,,
71479810b51c76d05ded9778ba7acb0d8eddef55,1,1,1,,,,
ba5b8cc479d3b405dc1f98da5731d0b5aacdaa84,,,1,,,,
735d84beeedc0096e23e707c1c225c43dfaa4269,,,,,,,
bf779abbbd17af20d268c1611441db43759ef76d,1,1,1,,,,
163067636b30304cc9617a65806876d54fea85ad,,,,,,,
29a4179770135ce29c86fdf4c45d44331e4103e4,,,,0.6,0.6,0.7,0.63
MEAN ALL ,,,,0.76,0.81,0.85,0.803
