transformers,Bagheri,Majidi,Kousheshi,avg Bagheri,avg Majidi,avg Kousheshi,AVG ALL
"q1 = ""natural language processing data augmentation""",,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,1,1,1,,,,
9d332ad27bfce66ee725b413aa07bd93c355efdf,1,1,1,,,,
013eb12ce5468f79d58bf859653f4929c5a2bd14,1,1,1,,,,
982aa0ee48a5fd228fb9fb3b3edd319b8af6f76d,1,1,1,,,,
45048eee994bffe8915e905ab5c24e34512fb4a1,1,1,1,,,,
f10f898e42973e7c3dee36ccb24d96e39e4583cc,1,1,1,,,,
070fb966fbd59f88db0bc724ce2e01717de5c7b3,1,1,1,,,,
860ac6363bc6fd6aef728b3adfb517f798795dcd,1,1,1,,,,
f6030af67bccda79d24c3c46af68d506079a15b3,1,1,1,,,,
2a8a2ab581f2e89c9a66e1b353346e1bb86ee6f6,,1,,0.9,1,0.9,0.93
"q2 = ""using tweets in Persian/Farsi on COVID-19
analyzing the topics discussed among users,
 to gauge and track the response to the pandemic and how it evolved over time.
 classify the contents and frequency of each category of topics""",,,,,,,
0f91f083101ca5c322d2973121bd0325b8ddde10,1,1,1,,,,
d8f72ea42c3f50dda94fa8e2cc484891f2df98ff,,1,1,,,,
6cdcec607dd65566f41a03a4b644b03c765729cd,1,1,1,,,,
b8caee15c58a7dc98a7bc13a978be261903721e6,1,1,1,,,,
3f5173d4129057e243605780f6fd25df0106b7a6,1,1,1,,,,
950850e22e42201f152d90dc6f53d53e39d37657,1,1,1,,,,
022372f23a2eb0bab4310b0cd752a1847b7a979e,1,1,1,,,,
6b8956d1819ad111b5de230723b5d19e5241b444,1,1,1,,,,
96422a7938ee25abbf9ecf60623ce1364c3f6c3b,1,1,1,,,,
b0abfea72ea5a0c13b49bbfc2c06e2efb7273e40,,,1,0.8,0.9,1,0.9
"q3 = ""The growth of social web contributes vast amount of user generated
content such as customer reviews, comments and opinions.""",,,,,,,
fa84a6dc99b72cd98467ec55894ce011cfe9c27f,1,1,1,,,,
87fe8163dcaff9b5cb759439c47c2c4661c78829,1,1,1,,,,
61a974f83254ae7979d1f53e9f8093bae65dab1a,,1,1,,,,
25cae8033e0bcdf89f6aa441f66aedae713d5e5d,1,1,1,,,,
49b2a4fab5f2bc1a816fb8e5c82db64d1b7828a2,1,1,1,,,,
fb21e161953617714b40d6fe4b473fdb54086d7c,1,1,,,,,
889224a64a5bc5f9e965f418a63b6768f7164993,1,1,,,,,
5c9bdcc2101a17cd60d2b0b1ea5af2c90a517e7b,,,,,,,
e39d68c3a01ce270013ae73af512dded1ab08334,,,,,,,
29a4179770135ce29c86fdf4c45d44331e4103e4,1,1,1,0.7,0.8,0.6,0.7
"q4 = ""Inspiring selective molecular transport in the nuclear pore complex,
 a system that can separate proteins using a facilitated diffusion-based
 mechanism is developed. The system is comprised of two
 components: nuclear transporter receptors complexes due to the physical
 binding between hydrophobic Phe-Gly sequences in the protein polymer network
 and the NTR.""",,,,,,,
4497daee71ee45a92835c5bd47f3b90d99463d7a,1,1,1,,,,
be2138dbe303b0e6f1eada17fddb0211301c66d5,1,1,1,,,,
0a1a4c254fc1718178bf9fd9f2051e8ebd957a00,,,,,,,
58a07e4e818ed04ffd6dd49d76c5ab874850d612,,,,,,,
2137ea33293a7474d067d1ad84a064bf051f8d19,1,1,1,,,,
227011bbd901cabe96c6dc7aff7500ef448867ee,1,1,,,,,
6210c262dc363424635e6a0b5a0d05e895532e9e,1,1,1,,,,
fb64627a28d25c3a43bcdcdf796b1c991eaff0f0,,,,,,,
3ea339e75a301c422e6c7d63c1fddf2fe6b246c4,1,,,,,,
a96a71eda19346d991e285ea80c26d91412935ea,,,,0.6,0.5,0.4,0.5
"q5 = ""homogenization receiving pretest of English grammar proficiency.
 The experimental group received instruction on English passive sentences
 using the NLP control group were instructed in the traditional
 explicit tutorials. paired-sample t test for the experimental group.""",,,,,,,
c388188112d296b66666b23d1f6bce040169c8bf,1,1,1,,,,
3ab8606c325c1b8ddb3dd91401977b00773d32c6,,,,,,,
b212fc70c2e0fec8af875042301f3c8e62b0c579,,,,,,,
1f183074396c5ae948c3f6d675a316cb63288414,,1,1,,,,
d0e03ab07d605a9c1aa495876e5cb55dc0878028,,,,,,,
cadd19f26b8f42dde0be19030d0979c50a7d3967,1,1,,,,,
5709966280c62d9543afce5c64ef35d7dd9ea3bf,,,,,,,
314008b6d0718bffcfa6b264072725feed64e880,1,1,,,,,
2dc0ca9dd9a87ff37f52acb38ffe71077b5c2d16,1,1,,,,,
fa52a33a1fd35cadf4e4236b4717c7f752fcbee6,,,,0.4,0.5,0.2,0.36
"q6 = ""systems for retrieving and ranking relevant records implementation
 of Cohort Retrieval Enhanced by Analysis of Text from EHRs,
 a cohort retrieval system that can execute textual cohort selection queries
 on both structured and unstructured EHR data.
 leverageting a combination of structured queries and IR techniques
 on NLP results to improve cohort retrieval performance while adopting
 the Observational Medical Outcomes Partnership Common Data Model
 to enhance model portability.""",,,,,,,
